РќР°Р·РІР°РЅРёРµ РєРЅРёРіРё,РђРІС‚РѕСЂ,РР·РґР°С‚РµР»СЊСЃС‚РІРѕ,Р¦РµРЅР° СЃРѕ СЃРєРёРґРєРѕР№,Р¦РµРЅР° Р±РµР· СЃРєРёРґРєРё,РџСЂРѕС†РµРЅС‚ СЃРєРёРґРєРё,РќР°Р»РёС‡РёРµ РЅР° СЃРєР»Р°РґРµ
Dictionary of Symbols,Gheerbrant Alain и др.,Penguin,2222,3419,35,На складе
Латинско-русский русско-латинский словарь,Левинский Константин Александрович,"АСТ:
            Карманная библиотека словарей: лучшее",265,340,22,На складе
The Penguin Dictionary of Art and Artists,"Murray Peter, Murray Linda",Penguin,1708,2847,40,На складе
The Penguin Dictionary of Critical Theory,Macey David,Penguin,1252,2086,40,На складе
The Penguin Dictionary of International Relations,"Evans Graham, Newnham Richard",Penguin,1851,2847,35,Ограничено
The Quickway Crossword Dictionary,,Penguin,2097,3226,35,На складе
The Penguin Dictionary of Philosophy,,Penguin,1460,2086,30,Ограничено
The Penguin Dictionary of Mathematics,Nelson David,Penguin,1480,2467,40,На складе
The Penguin French Phrasebook,Norman Jill и др.,Penguin,988,1520,35,На складе
The Penguin Dictionary of Economics,"Bannock Graham, Baxter Ronald Eric",Penguin,1594,2277,30,Ограничено
"Русско-английский, англо-русский словарь",Бочарова Галина Валентиновна и др.,Проспект:,290,414,30,Ограничено
English Visual Dictionary,,"Collins:
            Collins Dictionaries",1739,2484,30,На складе
Энциклопедия «Русский язык»,,"АСТ-Пресс:
            Фундаментальные словари",4883,Нет старой цены,Нет скидки,На складе
Spanish Dictionary and Grammar,,"Collins:
            Collins Dictionaries",1108,1847,40,Ограничено
Современный словарь иностранных слов,Крысин Леонид Петрович,"АСТ-Пресс:
            Настольные словари русского языка",1776,Нет старой цены,Нет скидки,На складе
Орфографический словарь русского языка,Букчина Бронислава Зиновьевна и др.,"АСТ-Пресс:
            Настольные словари русского языка",3699,Нет старой цены,Нет скидки,На складе
Словарь-тезаурус русских пословиц и поговорок,Зимин Валентин Ильич,"АСТ-Пресс:
            Настольные словари русского языка",2368,Нет старой цены,Нет скидки,На складе
The Penguin Dictionary of Architecture & Landscape,Honour Hugh и др.,Penguin,1993,2847,30,На складе
Объяснительный русский орфографический словарь-справочник,Бешенкова Елена Виленовна и др.,"АСТ-Пресс:
            Настольные словари русского языка",2072,Нет старой цены,Нет скидки,На складе
Словарь ударений русского языка,Резниченко Ирина Леонидовна,"АСТ-Пресс:
            Настольные словари русского языка",2812,Нет старой цены,Нет скидки,На складе
Русский орфографический словарь. Более 200 000 слов,Иванова Ольга Евгеньевна и др.,"АСТ-Пресс:
            Фундаментальные словари",3847,Нет старой цены,Нет скидки,На складе
Большой фразеологический словарь русского языка,Телия Вероника Николаевна,"АСТ-Пресс:
            Фундаментальные словари",3404,Нет старой цены,Нет скидки,На складе
Древнегреческо-русский словарь. Том 1. Часть 1,Дворецкий Иосиф Хананович,"RUGRAM:
            ЁЁ Медиа",2616,3354,22,На складе
Древнегреческо-русский словарь. Том 1. Часть 2,Дворецкий Иосиф Хананович,"RUGRAM:
            ЁЁ Медиа",3366,4315,22,На складе
Русско-англо-испанский морской словарь,Дегтярев Владимир Семенович,У Никитских ворот,5443,7776,30,На складе
Словарь языка русской поэзии ХХ века. Том IX. Книга 2. Уж - Цезарь,,"ИД ЯСК:
            Studia philologica",3923,5029,22,Ограничено
Большой англо-русско-китайский стоматологический словарь,Берзегова Людмила Юрьевна и др.,ГЭОТАР-Медиа,2196,3992,45,На складе
